FB,4,ebarrocas,0.0,12/30/20
ROKU,4,ebarrocas,0.0,12/30/20
OKTA,5,ebarrocas,0.0,12/30/20
PINS,5,ebarrocas,0.0,12/30/20
SE,5,ebarrocas,0.0,12/30/20
NET,5,ebarrocas,0.0,12/30/20
ZM,4,ebarrocas,0.0,12/30/20
KNSL,4,ebarrocas,0.0,12/30/20
TDOC,5,ebarrocas,0.0,12/30/20
FUBO,4,ebarrocas,0.0,12/30/20
INTU,4,ebarrocas,0.0,12/30/20
AMZN,4,ebarrocas,0.0,12/30/20
MELI,5,ebarrocas,0.0,12/30/20
MA,5,ebarrocas,0.0,12/30/20
UPWK,5,ebarrocas,0.0,12/30/20
SQ,5,ebarrocas,0.0,12/30/20
U,5,ebarrocas,0.0,12/30/20
SBUX,4,ebarrocas,0.0,12/30/20
MTCH,4,ebarrocas,0.0,12/30/20
CHWY,4,ebarrocas,0.0,12/30/20
SHOP,4,ebarrocas,0.0,12/30/20
ADSK,5,ebarrocas,0.0,12/30/20
ZNGA,4,ebarrocas,0.0,12/30/20
CRWD,5,ebarrocas,0.0,12/30/20
ZUO,4,ebarrocas,0.0,12/30/20
AAPL,4,ebarrocas,0.0,12/30/20
FLGT,5,ebarrocas,0.0,12/30/20
IDXX,5,ebarrocas,0.0,12/30/20
TTD,5,ebarrocas,0.0,12/30/20
CTXS,4,ebarrocas,0.0,12/30/20
NFLX,4,ebarrocas,0.0,12/30/20
RDFN,5,ebarrocas,0.0,12/30/20
APPN,5,ebarrocas,0.0,12/30/20
LMND,5,ebarrocas,0.0,12/30/20
PTON,3,ebarrocas,0.0,12/30/20
FVRR,5,ebarrocas,0.0,12/30/20
SOL,3,tcoon11,0.0,12/30/20
SHOP,4,mfm469,0.0,12/30/20
AMZN,4,mfm469,0.0,12/30/20
CLNE,3,foolishtoo,0.0,12/30/20
NVDA,4,vwcc,0.0,12/30/20
ADS,2,dcunha,0.0,12/30/20
INSG,3,dcunha,0.0,12/30/20
MGNI,5,bayissage,0.0,12/30/20
NFLX,4,jmagradey2,0.0,12/30/20
COUP,4,hsmenon,0.0,12/30/20
DMTK,0,sf007,0.0,12/30/20
VIAC,3,tubeturn,0.0,12/30/20
